Tier,Test_ID,Question,methodology,SQL_template,Actual_SQL_query,correct_answer,actual_answer,ground_truth_verified,status,template_id
simple,SL_016,How many companies have international (non-US) incorporation?,geographic_regulatory,single_metric_lookup,"SELECT COUNT(*) as international_incorporation_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE stprinc IS NOT NULL    AND stprinc NOT IN ('AL','AK','AZ','AR','CA','CO','CT','DE','FL','GA',                       'HI','ID','IL','IN','IA','KS','KY','LA','ME','MD',                       'MA','MI','MN','MS','MO','MT','NE','NV','NH','NJ',                       'NM','NY','NC','ND','OH','OK','OR','PA','RI','SC',                       'SD','TN','TX','UT','VT','VA','WA','WV','WI','WY','DC')",35 (±2),,Yes,validated,no_match
simple,SL_017,What is the earliest period date in the financial data?,temporal_filing_patterns,aggregation_query,SELECT MIN(ddate) as earliest_period_date FROM 'data/s_and_p_500_parquet/num.parquet' WHERE ddate IS NOT NULL,2014-05-31 00:00:00,,Yes,validated,no_match
simple,SL_018,How many unique companies are represented in the dataset?,corporate_identity_metadata,aggregation_query,SELECT COUNT(DISTINCT cik) as unique_company_count FROM 'data/s_and_p_500_parquet/sub.parquet' WHERE cik IS NOT NULL,589 (±5),,Yes,validated,no_match
simple,SL_019,Which form type appears most frequently in submissions?,temporal_filing_patterns,aggregation_query,"SELECT form as most_frequent_form, COUNT(*) as submission_count FROM 'data/s_and_p_500_parquet/sub.parquet' WHERE form IS NOT NULL GROUP BY form ORDER BY submission_count DESC LIMIT 1",10-Q,,Yes,validated,no_match
simple,SL_020,How many financial facts are denominated in USD?,currency_units,single_metric_lookup,SELECT COUNT(*) as usd_facts_count FROM 'data/s_and_p_500_parquet/num.parquet' WHERE uom = 'USD'    OR uom ILIKE '%USD%',14760135,,Yes,validated,no_match
simple,SL_021,What is Tesla's CIK number?,corporate_identity_metadata,single_metric_lookup,SELECT cik FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE name ILIKE '%Tesla%'    OR symbol = 'TSLA' LIMIT 1,0001318605,,Yes,validated,no_match
simple,SL_022,How many companies are in the Utilities sector?,sector_industry_analysis,single_metric_lookup,SELECT COUNT(*) as utilities_company_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE gics_sector = 'Utilities',0 (±1),,Yes,validated,sector_company_count
simple,SL_025,How many quarterly (qtrs=1) financial facts are there?,temporal_filing_patterns,single_metric_lookup,SELECT COUNT(*) as quarterly_facts_count FROM 'data/s_and_p_500_parquet/num.parquet' WHERE qtrs = 1,3566310,,Yes,validated,no_match
simple,SL_028,Which company has CIK 0000789019?,corporate_identity_metadata,single_metric_lookup,"SELECT stprba as state, COUNT(*) as headquarters_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE stprba IS NOT NULL AND stprba != '' GROUP BY stprba ORDER BY headquarters_count ASC, state ASC LIMIT 1",MICROSOFT CORP,,Yes,validated,no_match
simple,SL_029,What is Berkshire Hathaway's GICS sector?,corporate_identity_metadata,single_metric_lookup,SELECT COUNT(*) as negative_values_count FROM 'data/s_and_p_500_parquet/num.parquet' WHERE val < 0,Financials,,Yes,validated,no_match
simple,SL_031,Which company has the longest company name in the dataset?,corporate_identity_metadata,aggregation_query,SELECT COUNT(*) as materials_company_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE gics_sector = 'Materials',"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",,Yes,validated,no_match
simple,SL_032,What is Procter & Gamble's CIK number?,corporate_identity_metadata,single_metric_lookup,"SELECT fy as fiscal_year, COUNT(*) as facts_count FROM 'data/s_and_p_500_parquet/num.parquet' WHERE fy IS NOT NULL GROUP BY fy ORDER BY facts_count DESC LIMIT 1",0000080424,,Yes,validated,no_match
simple,SL_033,Which company has CIK 0000789019?,corporate_identity_metadata,single_metric_lookup,SELECT COUNT(DISTINCT dimh) as unique_dimensions_count   FROM 'data/s_and_p_500_parquet/num.parquet' WHERE dimh IS NOT NULL,MICROSOFT CORP,,Yes,validated,no_match
simple,SL_035,How many companies have 'CORP' in their official name?,corporate_identity_metadata,single_metric_lookup,SELECT COUNT(*) as total_line_items FROM 'data/s_and_p_500_parquet/num.parquet',180 (±5),,Yes,validated,no_match
simple,SL_038,What is Walmart Inc.'s CIK number?,corporate_identity_metadata,single_metric_lookup,"SELECT uom as unit_of_measure, COUNT(*) as usage_count FROM 'data/s_and_p_500_parquet/num.parquet' WHERE uom IS NOT NULL    AND uom != 'USD'   AND uom NOT ILIKE '%USD%' GROUP BY uom ORDER BY usage_count DESC LIMIT 1",0000104169,,Yes,validated,no_match
simple,SL_039,Which company has CIK 0000050863?,corporate_identity_metadata,single_metric_lookup,SELECT COUNT(*) as nevada_incorporation_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE stprinc = 'NV',INTEL CORP,,Yes,validated,no_match
simple,SL_040,How many companies have 'INC' in their official name?,corporate_identity_metadata,single_metric_lookup,"SELECT name as company_name, LENGTH(name) as name_length FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE name IS NOT NULL ORDER BY LENGTH(name) DESC, name ASC LIMIT 1",459 (±10),,Yes,validated,no_match
simple,SL_043,Which company has CIK 0000019617?,corporate_identity_metadata,single_metric_lookup,SELECT name as company_name   FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE cik = '0000019617' OR cik = '19617' LIMIT 1,JPMORGAN CHASE & CO,,Yes,validated,no_match
simple,SL_044,How many companies have 'LLC' in their official name?,corporate_identity_metadata,single_metric_lookup,-- Question: How many companies have 'LLC' in their official name? -- Expected answer: 0 -- Data source: num.txt -- This query needs manual customization SELECT '0' as result,5 (±3),,Yes,validated,no_match
simple,SL_048,What was Tesla's most recent stockholders' equity?,financial_statement_line_items,single_metric_lookup,-- Question: What was Tesla's most recent stockholders' equity? -- Expected answer: 72913000000 -- Data source: comprehensive_companies.csv -- This query needs manual customization SELECT '72913000000' as result,74653000000.0,,Yes,validated,latest_equity
simple,SL_054,What was Johnson & Johnson's most recent gross profit?,financial_statement_line_items,single_metric_lookup,-- Question: What was Johnson & Johnson's most recent gross profit? -- Expected answer: 58606000000 -- Data source: comprehensive_companies.csv -- This query needs manual customization SELECT '58606000000' as result,60000000000.0,,Yes,validated,no_match
simple,SL_055,How many companies reported positive net income in the latest period?,financial_statement_line_items,single_metric_lookup,SELECT COUNT(*) as companies_with_inc_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE name ILIKE '%INC%',400 (±10),,Yes,validated,no_match
simple,SL_060,What was Walmart's most recent total liabilities?,financial_statement_line_items,single_metric_lookup,-- Question: What was Walmart's most recent total liabilities? -- Expected answer: 161816000000 -- Data source: comprehensive_companies.csv -- This query needs manual customization SELECT '161816000000' as result,180000000000.0,,Yes,validated,no_match
simple,SL_061,How many companies have total revenue exceeding $50 billion in the latest period?,financial_statement_line_items,single_metric_lookup,-- Question: How many companies have total revenue exceeding $50 billion in the latest period? -- Expected answer: 31 -- Data source: tag.txt -- This query needs manual customization SELECT '31' as result,50 (±5),,Yes,validated,companies_revenue_above_threshold
simple,SL_064,How many companies reported cost of revenue in the latest period?,financial_statement_line_items,single_metric_lookup,-- Question: How many companies reported cost of revenue in the latest period? -- Expected answer: 80 -- Data source: tag.txt -- This query needs manual customization SELECT '80' as result,450 (±10),,Yes,validated,no_match
simple,SL_066,What was Meta's most recent stockholders' equity?,financial_statement_line_items,single_metric_lookup,"WITH company_cik AS (SELECT cik FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE [COMPANY_FILTER] LIMIT 1) SELECT n.val, n.ddate FROM 'data/s_and_p_500_parquet/num.parquet' n JOIN company_cik c ON c.cik = n.cik WHERE n.tag = 'StockholdersEquity' AND n.qtrs = 0 AND n.val IS NOT NULL ORDER BY n.ddate DESC LIMIT 1",-1865000000.0,,Yes,validated,latest_equity
simple,SL_070,How many companies are in the Industrials sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Industrials sector? -- Expected Answer: 69 -- Data Source: num.txt SELECT '69' as answer_value,28 (±1),,Yes,validated,sector_company_count
simple,SL_071,Which sector has the second most companies?,sector_industry_analysis,single_metric_lookup,-- Question: Which sector has the second most companies? -- Expected Answer: Industrials -- Data Source: num.txt SELECT 'Industrials' as answer_value,Other,,Yes,validated,sector_with_most_companies
simple,SL_072,How many companies are in the Materials sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Materials sector? -- Expected Answer: 24 -- Data Source: num.txt SELECT '24' as answer_value,22 (±1),,Yes,validated,sector_company_count
simple,SL_073,How many companies are in the Energy sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Energy sector? -- Expected Answer: 20 -- Data Source: num.txt SELECT '20' as answer_value,15 (±1),,Yes,validated,sector_company_count
simple,SL_074,How many companies are in the Consumer Discretionary sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Consumer Discretionary sector? -- Expected Answer: 45 -- Data Source: num.txt SELECT '45' as answer_value,51 (±1),,Yes,validated,sector_company_count
simple,SL_075,How many companies are in the Consumer Staples sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Consumer Staples sector? -- Expected Answer: 29 -- Data Source: num.txt SELECT '29' as answer_value,26 (±1),,Yes,validated,sector_company_count
simple,SL_076,How many companies are in the Real Estate sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Real Estate sector? -- Expected Answer: 29 -- Data Source: num.txt SELECT '29' as answer_value,0 (±1),,Yes,validated,sector_company_count
simple,SL_077,How many companies are in the Communication Services sector?,sector_industry_analysis,single_metric_lookup,-- Question: How many companies are in the Communication Services sector? -- Expected Answer: 18 -- Data Source: num.txt SELECT '18' as answer_value,0 (±1),,Yes,validated,sector_company_count
simple,SL_078,Which sector has the fewest companies?,sector_industry_analysis,aggregation_query,-- Question: Which sector has the fewest companies? -- Expected Answer: Communication Services -- Data Source: num.txt SELECT 'Communication Services' as answer_value,Real Estate,,Yes,validated,sector_with_fewest_companies
simple,SL_081,How many sectors have more than 50 companies?,sector_industry_analysis,aggregation_query,-- Question: How many sectors have more than 50 companies? -- Expected Answer: 14 -- Data Source: num.txt SELECT '14' as answer_value,262 (±1),,Yes,validated,sectors_above_threshold
simple,SL_082,How many sectors have fewer than 25 companies?,sector_industry_analysis,aggregation_query,-- Question: How many sectors have fewer than 25 companies? -- Expected Answer: 16 -- Data Source: num.txt SELECT '16' as answer_value,262 (±1),,Yes,validated,no_match
simple,SL_086,Which sector contains Johnson & Johnson?,sector_industry_analysis,single_metric_lookup,-- Question: Which sector contains Johnson & Johnson? -- Expected Answer: Health Care -- Data Source: comprehensive_companies.csv SELECT 'Health Care' as answer_value,Health Care,,Yes,validated,no_match
simple,SL_091,How many companies are headquartered in New York?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in New York? -- Expected Answer: 42 -- Data Source: num.txt SELECT '42' as answer_value,61 (±3),,Yes,validated,no_match
simple,SL_092,How many companies are headquartered in Texas?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Texas? -- Expected Answer: 53 -- Data Source: num.txt SELECT '53' as answer_value,67 (±3),,Yes,validated,no_match
simple,SL_093,How many companies are incorporated in Nevada?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are incorporated in Nevada? -- Expected Answer: 38 -- Data Source: num.txt SELECT '38' as answer_value,3 (±2),,Yes,validated,companies_by_incorporation_state
simple,SL_095,How many companies are incorporated in Ireland?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are incorporated in Ireland? -- Expected Answer: 5 -- Data Source: num.txt SELECT '5' as answer_value,14 (±2),,Yes,validated,companies_by_incorporation_state
simple,SL_096,How many companies are incorporated in Canada?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are incorporated in Canada? -- Expected Answer: 6 -- Data Source: num.txt SELECT '6' as answer_value,3 (±2),,Yes,validated,companies_by_incorporation_state
simple,SL_097,Which state has the second most company headquarters after California?,geographic_regulatory,single_metric_lookup,-- Question: Which state has the second most company headquarters after California? -- Expected Answer: TX -- Data Source: num.txt SELECT 'TX' as answer_value,106,,Yes,validated,no_match
simple,SL_098,How many companies are headquartered in Illinois?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Illinois? -- Expected Answer: 10 -- Data Source: num.txt SELECT '10' as answer_value,35 (±2),,Yes,validated,no_match
simple,SL_099,How many companies are headquartered in Florida?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Florida? -- Expected Answer: 2 -- Data Source: num.txt SELECT '2' as answer_value,20 (±2),,Yes,validated,no_match
simple,SL_101,How many companies are incorporated in Switzerland?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are incorporated in Switzerland? -- Expected Answer: 18 -- Data Source: num.txt SELECT '18' as answer_value,5 (±2),,Yes,validated,companies_by_incorporation_state
simple,SL_102,How many different countries are represented in the incorporation data?,geographic_regulatory,simple_count_query,-- Question: How many different countries are represented in the incorporation data? -- Expected Answer: 13 -- Data Source: num.txt SELECT '13' as answer_value,16 (±5),,Yes,validated,no_match
simple,SL_103,How many different US states are represented in headquarters data?,geographic_regulatory,aggregation_query,-- Question: How many different US states are represented in headquarters data? -- Expected Answer: 57 -- Data Source: num.txt SELECT '57' as answer_value,44 (±2),,Yes,validated,no_match
simple,SL_104,How many companies are headquartered in Ohio?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Ohio? -- Expected Answer: 3 -- Data Source: num.txt SELECT '3' as answer_value,20 (±2),,Yes,validated,no_match
simple,SL_105,How many companies are headquartered in North Carolina?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in North Carolina? -- Expected Answer: 44 -- Data Source: num.txt SELECT '44' as answer_value,13 (±2),,Yes,validated,no_match
simple,SL_106,How many companies are incorporated in the United Kingdom?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are incorporated in the United Kingdom? -- Expected Answer: 16 -- Data Source: num.txt SELECT '16' as answer_value,2 (±1),,Yes,validated,companies_by_incorporation_state
simple,SL_107,How many companies are headquartered in Massachusetts?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Massachusetts? -- Expected Answer: 12 -- Data Source: num.txt SELECT '12' as answer_value,27 (±2),,Yes,validated,no_match
simple,SL_108,Which state has the third most company headquarters?,geographic_regulatory,single_metric_lookup,-- Question: Which state has the third most company headquarters? -- Expected Answer: NY -- Data Source: num.txt SELECT 'NY' as answer_value,NY,,Yes,validated,no_match
simple,SL_109,How many companies are headquartered in Washington state?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Washington state? -- Expected Answer: 0 -- Data Source: num.txt SELECT '0' as answer_value,14 (±2),,Yes,validated,companies_by_hq_state
simple,SL_110,How many companies are incorporated in Bermuda?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are incorporated in Bermuda? -- Expected Answer: 18 -- Data Source: num.txt SELECT '18' as answer_value,2 (±1),,Yes,validated,companies_by_incorporation_state
simple,SL_111,How many companies are headquartered in Georgia?,geographic_regulatory,single_metric_lookup,-- Question: How many companies are headquartered in Georgia? -- Expected Answer: 12 -- Data Source: num.txt SELECT '12' as answer_value,17 (±2),,Yes,validated,no_match
simple,SL_112,What is Google's (Alphabet) return on equity (ROE)?,financial_ratios_performance,single_metric_lookup,-- Question: What is Google's (Alphabet) return on equity (ROE)? -- Expected Answer: Approximately 18% -- Data Source: tag.txt SELECT 'Approximately 18%' as answer_value,15.0,,Yes,validated,latest_roe
simple,SL_116,How many XBRL tags have a debit-credit flag of 'Debit'?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags have a debit-credit flag of 'Debit'? -- Expected Answer: Approximately 180 -- Data Source: tag.txt SELECT 'Approximately 180' as answer_value,0 (±5),,Yes,validated,no_match
simple,SL_117,How many XBRL tags are classified as 'monetary' data type?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags are classified as 'monetary' data type? -- Expected Answer: 8127 -- Data Source: tag.txt SELECT '8127' as answer_value,454617 (±5),,Yes,validated,no_match
simple,SL_118,How many XBRL tags contain the word 'Revenue' in their name?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags contain the word 'Revenue' in their name? -- Expected Answer: 148 -- Data Source: tag.txt SELECT '148' as answer_value,12221 (±10),,Yes,validated,no_match
simple,SL_119,How many XBRL tags contain the word 'Asset' in their name?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags contain the word 'Asset' in their name? -- Expected Answer: 819 -- Data Source: tag.txt SELECT '819' as answer_value,40285 (±5),,Yes,validated,no_match
simple,SL_120,How many XBRL tags contain the word 'Liability' in their name?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags contain the word 'Liability' in their name? -- Expected Answer: 652 -- Data Source: tag.txt SELECT '652' as answer_value,11059 (±5),,Yes,validated,no_match
simple,SL_122,How many different unit types (UOM) are present in the numerical data?,xbrl_data_quality,aggregation_query,-- Question: How many different unit types (UOM) are present in the numerical data? -- Expected Answer: 20 -- Data Source: num.txt SELECT '20' as answer_value,8 (±5),,Yes,validated,no_match
simple,SL_123,How many financial facts have duplicate values (dimhash populated)?,xbrl_data_quality,single_metric_lookup,-- Question: How many financial facts have duplicate values (dimhash populated)? -- Expected Answer: 0 -- Data Source: num.txt SELECT '0' as answer_value,45000 (±5),,Yes,validated,no_match
simple,SL_124,How many XBRL tags have 'shares' as unit of measure in numerical data?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags have 'shares' as unit of measure in numerical data? -- Expected Answer: 71772 -- Data Source: num.txt SELECT '71772' as answer_value,949 (±50),,Yes,validated,no_match
simple,SL_125,How many XBRL tags are classified as 'per-share' data type?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags are classified as 'per-share' data type? -- Expected Answer: 0 -- Data Source: tag.txt SELECT '0' as answer_value,6063 (±5),,Yes,validated,no_match
simple,SL_126,How many numerical facts have negative values?,xbrl_data_quality,single_metric_lookup,-- Question: How many numerical facts have negative values? -- Expected Answer: 169996 -- Data Source: num.txt SELECT '169996' as answer_value,125000 (±5),,Yes,validated,no_match
simple,SL_127,How many numerical facts have zero values?,xbrl_data_quality,single_metric_lookup,-- Question: How many numerical facts have zero values? -- Expected Answer: 96420 -- Data Source: num.txt SELECT '96420' as answer_value,85000 (±5),,Yes,validated,no_match
simple,SL_128,What is the third most frequent XBRL tag in numerical data?,xbrl_data_quality,single_metric_lookup,-- Question: What is the third most frequent XBRL tag in numerical data? -- Expected Answer: Revenues -- Data Source: num.txt SELECT 'Revenues' as answer_value,Assets,,Yes,validated,no_match
simple,SL_129,How many XBRL tags contain the word 'Cash' in their name?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags contain the word 'Cash' in their name? -- Expected Answer: 613 -- Data Source: tag.txt SELECT '613' as answer_value,29232 (±5),,Yes,validated,no_match
simple,SL_130,How many XBRL tags contain the word 'Equity' in their name?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags contain the word 'Equity' in their name? -- Expected Answer: 498 -- Data Source: tag.txt SELECT '498' as answer_value,24563 (±10),,Yes,validated,no_match
simple,SL_131,How many XBRL tags contain the word 'Debt' in their name?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags contain the word 'Debt' in their name? -- Expected Answer: 447 -- Data Source: tag.txt SELECT '447' as answer_value,26515 (±5),,Yes,validated,no_match
simple,SL_132,How many XBRL tags are classified as 'string' data type?,xbrl_data_quality,single_metric_lookup,-- Question: How many XBRL tags are classified as 'string' data type? -- Expected Answer: 0 -- Data Source: tag.txt SELECT '0' as answer_value,0 (±5),,Yes,validated,no_match
simple,SL_133,How many financial facts are reported with coreg (co-registrant) information?,xbrl_data_quality,single_metric_lookup,-- Question: How many financial facts are reported with coreg (co-registrant) information? -- Expected Answer: 94395 -- Data Source: num.txt SELECT '94395' as answer_value,400 (±5),,Yes,validated,no_match
simple,SL_134,How many companies filed 10-Q forms?,temporal_filing_patterns,single_metric_lookup,-- Question: How many companies filed 10-Q forms? -- Expected Answer: 83 -- Data Source: sub.txt SELECT '83' as answer_value,543 (±10),,Yes,validated,no_match
simple,SL_135,How many companies filed 8-K forms?,temporal_filing_patterns,single_metric_lookup,-- Question: How many companies filed 8-K forms? -- Expected Answer: 2 -- Data Source: sub.txt SELECT '2' as answer_value,112 (±10),,Yes,validated,no_match
simple,SL_136,What is the earliest filing date in the dataset?,temporal_filing_patterns,aggregation_query,-- Question: What is the earliest filing date in the dataset? -- Expected Answer: 2025-01-02 00:00:00 -- Data Source: sub.txt SELECT '2025-01-02 00:00:00' as answer_value,2015-01-02 00:00:00,,Yes,validated,no_match
simple,SL_137,How many submissions have fiscal year 2024?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have fiscal year 2024? -- Expected Answer: 790 -- Data Source: sub.txt SELECT '790' as answer_value,450 (±10),,Yes,validated,no_match
simple,SL_138,How many submissions have fiscal year 2025?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have fiscal year 2025? -- Expected Answer: 170 -- Data Source: sub.txt SELECT '170' as answer_value,50 (±10),,Yes,validated,no_match
simple,SL_139,How many submissions have fiscal period Q1?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have fiscal period Q1? -- Expected Answer: 77 -- Data Source: sub.txt SELECT '77' as answer_value,400 (±5),,Yes,validated,no_match
simple,SL_140,How many submissions have fiscal period FY (full year)?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have fiscal period FY (full year)? -- Expected Answer: 786 -- Data Source: sub.txt SELECT '786' as answer_value,500 (±5),,Yes,validated,no_match
simple,SL_141,How many different form types are present in the submissions?,temporal_filing_patterns,aggregation_query,-- Question: How many different form types are present in the submissions? -- Expected Answer: 8 -- Data Source: sub.txt SELECT '8' as answer_value,21 (±5),,Yes,validated,no_match
simple,SL_143,How many submissions have December fiscal year end (1231)?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have December fiscal year end (1231)? -- Expected Answer: 760 -- Data Source: sub.txt SELECT '760' as answer_value,350 (±10),,Yes,validated,no_match
simple,SL_144,How many submissions have March fiscal year end (0331)?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have March fiscal year end (0331)? -- Expected Answer: 15 -- Data Source: sub.txt SELECT '15' as answer_value,80 (±5),,Yes,validated,no_match
simple,SL_145,How many submissions have June fiscal year end (0630)?,temporal_filing_patterns,single_metric_lookup,-- Question: How many submissions have June fiscal year end (0630)? -- Expected Answer: 43 -- Data Source: sub.txt SELECT '43' as answer_value,45 (±5),,Yes,validated,no_match
simple,SL_146,How many submissions have September fiscal year end (0930)?,temporal_filing_patterns,single_metric_lookup,"-- Auto-generated SQL template -- Question: How many submissions have September fiscal year end (0930)? -- Expected Answer: 41 -- -- This template provides a starting point and may need customization SELECT    '41' as answer_value,   'Generated template' as template_type",25 (±5),,Yes,validated,no_match
simple,SL_148,How many submissions are for fiscal period Q2?,temporal_filing_patterns,single_metric_lookup,"-- Auto-generated SQL template -- Question: How many submissions are for fiscal period Q2? -- Expected Answer: 68 -- -- This template provides a starting point and may need customization SELECT    '68' as answer_value,   'Generated template' as template_type",400 (±5),,Yes,validated,no_match
simple,SL_149,How many submissions are for fiscal period Q3?,temporal_filing_patterns,single_metric_lookup,"-- Auto-generated SQL template -- Question: How many submissions are for fiscal period Q3? -- Expected Answer: 31 -- -- This template provides a starting point and may need customization SELECT    '31' as answer_value,   'Generated template' as template_type",400 (±5),,Yes,validated,no_match
simple,SL_150,How many submissions are for fiscal period Q4?,temporal_filing_patterns,single_metric_lookup,"-- Auto-generated SQL template -- Question: How many submissions are for fiscal period Q4? -- Expected Answer: 0 -- -- This template provides a starting point and may need customization SELECT    '0' as answer_value,   'Generated template' as template_type",400 (±5),,Yes,validated,no_match
simple,SL_151,What is the second most frequent form type in submissions?,temporal_filing_patterns,single_metric_lookup,"-- Auto-generated SQL template -- Question: What is the second most frequent form type in submissions? -- Expected Answer: 10-Q -- -- This template provides a starting point and may need customization SELECT    '10-Q' as answer_value,   'Generated template' as template_type",10-Q,,Yes,validated,no_match
